method,regime,mission_time,rescue_success,formation_error,communication_load,violation_rate,reward,composite_score,severity
fixed_rule,standard,25.229147826094618,0.2658586920322812,3.553318880832071,7.2,0.12443562465314055,-6.341982898450007,27.690629373017448,nominal
rl_only,standard,25.61336172206002,0.2624000709440488,3.549627260664937,6.4,0.12490778838358078,-6.337762752126962,27.227696083941968,nominal
schema_rule_only,standard,28.444836399529255,0.24113091677369772,3.5187694130815026,12.0,0.12763198040400142,-7.75649742010405,23.804693870786636,nominal
full_stack,standard,26.381762573721822,0.2702720730723703,3.1236719893851443,6.784000000000001,0.11427725207489392,-3.9733942256141828,28.480082256928622,nominal
fixed_rule,standard,27.808652857062963,0.2094053900651799,3.8032288673463883,7.2,0.20376617267119174,-9.687909213348332,18.526741153973145,moderate
rl_only,standard,34.34785069700915,0.1690203225328892,3.856293450776312,12.0,0.21139520431181658,-13.097800979399711,12.09608346025009,moderate
schema_rule_only,standard,28.181429480955423,0.20680118649884002,3.7980331428420295,6.4,0.20406853930271024,-9.544048219758409,18.179837399691056,moderate
full_stack,standard,28.181429480955423,0.2095930025165744,3.619525585128454,6.4,0.19969468247017408,-8.834974310814914,18.683980550181925,moderate
fixed_rule,stress,43.44289044339285,0.1016652010680918,4.41885551356692,7.2,0.3001483891275776,-18.21094608601328,0.694058851599975,severe
rl_only,stress,43.91721627691993,0.10005247327768395,4.413494979914567,6.4,0.3002884938336911,-18.20522254446892,0.4668394408919829,severe
schema_rule_only,stress,43.44289044339285,0.1016652010680918,4.41885551356692,7.2,0.3001483891275776,-29.473153299249855,0.694058851599975,severe
full_stack,stress,46.22323543176999,0.10990008235460724,3.5881106770163393,7.632000000000001,0.28055442171762235,-25.47608131315021,2.0528041264136223,severe
fixed_rule,stress,49.21077323218185,0.07218326659904606,4.920620068035932,7.2,0.3607043188409431,-21.92827291570063,-5.096362892935388,extreme
rl_only,stress,49.495744245987126,0.07197711956610257,4.890672351956619,6.4,0.3600784526124692,-21.786931777795573,-5.095611236134383,extreme
schema_rule_only,stress,49.21077323218185,0.07218326659904606,4.920620068035932,7.2,0.3607043188409431,-35.976451817401454,-5.096362892935388,extreme
full_stack,stress,53.3346360290387,0.08017395421156047,3.800686940550954,7.632000000000001,0.3347872800182713,-30.767120317993616,-3.7155537455034993,extreme
